i,Ht,chi
13,2.0,0.18215256463736293
14,2.0,0.41866226308047766
15,2.0,0.1266037710011005
16,2.0,0.10697264969348906
17,2.0,0.20523877441883082
18,2.0,0.09909388422966
19,2.0,0.06812007725238799
20,6.0,0.3353194743394851
21,6.0,0.36200352758169174
22,6.0,0.3845887929201125
23,6.0,0.4945128401741385
24,6.0,0.3288628458976745
25,6.0,0.49236691463738674
26,6.0,0.312269827350974
27,6.0,0.210753979277797
28,6.0,0.1797987119061872
29,6.0,0.20295710896607486
0,6.0,0.4242216050624846
1,6.0,0.37643897533416737
2,6.0,0.41755632357671846
3,6.0,0.3403577946592122
4,6.0,0.3036591567797586
5,6.0,0.32546764091239305
6,6.0,0.3581770028104074
7,6.0,0.3585347334737889
8,6.0,0.400368146598339
9,6.0,0.29632256925106043
10,2.0,0.018713645637035363
11,2.0,0.008989695459604256
12,2.0,0.03604054078459738
13,2.0,-0.02101515233516693
14,2.0,0.5840898782480507
15,2.0,0.4352583959698676
16,2.0,0.35586907342076296
17,2.0,0.36786149069666857
18,2.0,0.08195457421243188
19,2.0,-0.028005111962556836
20,6.0,0.5209595896303653
21,6.0,0.2888016924262046
22,6.0,0.24142973124980918
23,6.0,0.5846358612179755
24,6.0,0.36965738236904133
25,6.0,0.27168755978345865
26,6.0,0.23130174726247782
27,6.0,0.602101782336831
28,6.0,0.3062207251787185
29,6.0,0.2235346660017967
0,6.0,0.49788267910480494
1,6.0,0.38673477992415417
2,6.0,0.3754927888512611
3,6.0,0.491766221821308
4,6.0,0.46039389446377743
5,6.0,0.4753640517592429
6,6.0,0.3429874889552592
7,6.0,0.39676590636372555
8,6.0,0.31456230580806727
9,6.0,0.24836535751819605
10,2.0,0.4326722919940948
11,2.0,0.2766978442668914
12,2.0,0.24311931431293482
13,2.0,0.5425421819090842
14,2.0,0.28084378316998476
15,2.0,0.18666248023509976
16,2.0,0.09355967491865157
17,2.0,0.41509241983294476
18,2.0,0.35169040784239763
19,2.0,0.41646965593099583
20,6.0,0.5672729983925818
21,6.0,0.2683754246681928
22,6.0,0.2830687463283538
23,6.0,0.5715150935575365
24,6.0,0.44218469597399224
25,6.0,0.43236544728279114
26,6.0,0.35620474070310587
27,6.0,0.41015774756669987
28,6.0,0.4471030281856655
29,6.0,0.3471734039485454
0,6.0,0.6959494110196828
1,6.0,0.6005539087927899
2,6.0,0.5622188970446585
3,6.0,0.4046034491620957
4,6.0,0.3755725243827327
5,6.0,0.33730972185730923
6,6.0,0.3268796224147081
7,6.0,0.3754528169520199
8,6.0,0.5570102258352562
9,6.0,0.5047486089169978
10,2.0,0.687781827058643
11,2.0,0.3578795008361339
12,2.0,0.2172714405751321
13,2.0,0.20407063327729696
14,2.0,0.23049962520599357
15,2.0,0.5490016322582959
16,2.0,0.3234606552869081
17,2.0,0.25476209260523314
18,2.0,0.4015864094253629
19,2.0,0.2263683751225471
20,6.0,0.5203182194381951
21,6.0,0.4935918590053915
22,6.0,0.3943897739518433
23,6.0,0.5025970190763472
24,6.0,0.4237183295190334
25,6.0,0.40714278444647783
26,6.0,0.33384003490209574
27,6.0,0.5110833831131457
28,6.0,0.4072621297091245
29,6.0,0.34982212819159025
0,6.0,0.683234218508005
1,6.0,0.4206093773245811
2,6.0,0.3920992091298103
3,6.0,0.35736086592078203
4,6.0,0.5375661607831715
5,6.0,0.4351880559697746
6,6.0,0.40260880440473545
7,6.0,0.3453241027891635
8,6.0,0.4998994497582316
9,6.0,0.40627781301736826
10,2.0,0.6685396898537873
11,2.0,0.3664332183543592
12,2.0,0.4851495837792753
13,2.0,0.3822702728211879
14,2.0,0.3444946771487593
15,2.0,0.28246758272871375
16,2.0,0.2578374464064836
17,2.0,0.0205191047862172
18,2.0,0.09311711601912974
