Ht,chi,gamma,direction
7.4,0.3687183186411857,1e-07,down
7.2,0.09115869924426076,1e-07,down
7.0,0.18181241303682324,1e-07,down
6.8,0.6934943646192548,1e-07,down
6.6,0.41538201272487635,1e-07,down
6.4,0.4599509611725806,1e-07,down
6.2,0.34154203534126276,1e-07,down
6.0,0.2574604973196983,1e-07,down
5.8,0.14049129188060758,1e-07,down
5.6,0.897266276180744,1e-07,down
5.4,0.09525650739669798,1e-07,down
5.2,0.012395977973937987,1e-07,down
5.0,0.026896387338638302,1e-07,down
4.8,0.0348522663116455,1e-07,down
4.6,0.0516030043363571,1e-07,down
4.4,0.0473165214061737,1e-07,down
4.2,0.005372971296310424,1e-07,down
4.0,0.05915254354476927,1e-07,down
3.8,0.03066632151603698,1e-07,down
3.6,0.013441771268844601,1e-07,down
3.4,0.020625740289688107,1e-07,down
3.2,0.6882212758064269,1e-07,down
3.0,0.03216519951820373,1e-07,down
2.8,-0.011715412139892575,1e-07,down
2.6,0.026685565710067742,1e-07,down
2.4,0.006583303213119505,1e-07,down
2.2,0.015092730522155758,1e-07,down
2.0,0.2888977229595184,1e-07,down
1.8,0.29504102468490595,1e-07,down
1.6,-0.019332408905029293,1e-07,down
1.4,-0.012267380952835081,1e-07,down
1.2,-0.005288273096084594,1e-07,down
1.0,0.0006719827651977539,1e-07,down
0.8,0.008388131856918333,1e-07,down
0.6,0.003556519746780395,1e-07,down
0.4,-0.008993297815322876,1e-07,down
0.2,-0.0013186037540435789,1e-07,down
-0.0,-0.007771581411361693,1e-07,down
-0.0,-0.007771581411361693,1e-07,up
0.2,8.043646812438973e-05,1e-07,up
0.4,-0.0012990236282348626,1e-07,up
0.6,0.0032628774642944327,1e-07,up
0.8,0.003448694944381713,1e-07,up
1.0,0.0009570121765136719,1e-07,up
1.2,0.009052783250808714,1e-07,up
1.4,0.017070710659027096,1e-07,up
1.6,-0.007858544588088988,1e-07,up
1.8,0.006665855646133422,1e-07,up
2.0,0.012222111225128172,1e-07,up
2.2,0.008802384138107298,1e-07,up
2.4,-0.02381163835525512,1e-07,up
2.6,0.008725792169570921,1e-07,up
2.8,-0.0023113191127777087,1e-07,up
3.0,0.026801854372024533,1e-07,up
3.2,0.0031635761260986324,1e-07,up
3.4,0.014634102582931513,1e-07,up
3.6,-0.01752957701683044,1e-07,up
3.8,-0.016361743211746205,1e-07,up
4.0,0.017773360013961792,1e-07,up
4.2,0.04801529645919799,1e-07,up
4.4,0.008682459592819212,1e-07,up
4.6,0.2530901134014129,1e-07,up
4.8,0.06659898161888121,1e-07,up
5.0,0.01564130187034607,1e-07,up
5.2,-0.004307836294174192,1e-07,up
5.4,0.07007452845573424,1e-07,up
5.6,0.08452934026718137,1e-07,up
5.8,-0.013118922710418698,1e-07,up
6.0,0.036779612302780144,1e-07,up
6.2,0.3827917873859405,1e-07,up
6.4,0.17176802456378934,1e-07,up
6.6,0.19934542477130887,1e-07,up
6.8,0.2504550069570541,1e-07,up
7.0,0.15796568989753718,1e-07,up
7.2,0.35536347329616536,1e-07,up
7.4,0.31704511493444437,1e-07,up
7.6,0.4085914343595504,1e-07,up
7.8,0.398441307246685,1e-07,up
8.0,0.18327619135379788,1e-07,up
8.0,0.16397821158170697,1e-07,down
7.8,0.1727664656937122,1e-07,down
7.6,0.30726204649545247,1e-07,down
7.4,0.3375607524067163,1e-07,down
7.2,0.6241684481501578,1e-07,down
