k,corr
18,0.8397330617181803
19,0.8354878784984777
20,0.8847866711683763
21,0.9271053586537639
22,0.9383815117869243
23,0.9407120269412058
24,0.9425524172091236
25,0.9543599995626163
26,0.9556448951769619
27,0.9529136370560618
28,0.9498271034041175
29,0.9553027470639348
10,0.9232385519428787
11,0.8994212656655209
12,0.8898428769220963
13,0.8834225170403581
14,0.8809859843826102
15,0.8794279510944829
16,0.8810843299126638
17,0.8842711174923329
18,0.8789132275009663
19,0.8798369453651252
20,0.9103097635084735
21,0.9405448339903912
22,0.93957442919452
23,0.9365649312691928
24,0.9332842081436545
25,0.9434150746232802
26,0.9363879791335357
27,0.9474879533674884
28,0.9411580190588229
29,0.9400643050793122
10,0.8909574871324022
11,0.8361081123604095
12,0.823024988691329
13,0.8100470990638081
14,0.8020648529925578
15,0.8033293435949709
16,0.8014046655697229
17,0.8014722347067114
18,0.8002734035393531
19,0.8006683112135793
20,0.8541607781059284
21,0.9019912455490117
22,0.9092449350799837
23,0.9239402656837994
24,0.9279265740907444
25,0.9328079822475746
26,0.9296914869513275
27,0.9220907715682627
28,0.921483497396205
29,0.925533624120991
10,0.9132942155114213
11,0.8729441116600325
12,0.8584425220593543
13,0.8489128205141439
14,0.8455992102731272
15,0.8472493885041761
16,0.8466830685036204
17,0.847130686343631
18,0.8491112449472856
19,0.8500054325888249
20,0.8929313234360785
21,0.9361395194941323
22,0.951210494271896
23,0.9521036453813473
24,0.9500537492193791
25,0.9498804081858447
26,0.9524755325037336
27,0.955406865071657
28,0.9560619443553069
29,0.9542571812536252
10,0.8969359001249011
11,0.8649974651786767
12,0.8491767654788521
13,0.8335829196276583
14,0.8330409275895679
15,0.8295213737683793
16,0.8205178796262764
17,0.8178282992996199
18,0.8148522327142546
19,0.815549712830439
20,0.8668099695786893
21,0.9103909712373831
22,0.9211249047331768
23,0.9209215491394875
24,0.9160374441524335
25,0.9209459064849419
26,0.9143081197405957
27,0.9218912752749546
28,0.9143700391257763
29,0.9196599806036865
10,0.9133876734470763
11,0.8643790586273428
12,0.8500925309223358
13,0.8397373971658316
14,0.8338226334772847
15,0.8337337494302199
16,0.8325055671492061
17,0.8284741282437622
18,0.8290792680770913
19,0.8328396187535871
20,0.8736511319131255
21,0.9256441216457965
22,0.9368824185183243
23,0.9359004108567556
24,0.9366397375343734
25,0.9364978637634385
26,0.9366105550991864
27,0.9334308987601803
28,0.9400321912693211
29,0.936601936452005
10,0.9266794942362022
11,0.8966916355353209
12,0.8874291903643294
13,0.8854185810694002
14,0.8764517126695596
15,0.8612836822497429
16,0.8533850783164546
17,0.8516378454037354
18,0.8500184547796369
19,0.8491593342993884
20,0.8904206456299143
21,0.9129010212045736
22,0.9113465338487885
23,0.9159123197713939
24,0.9209411124950858
25,0.916295203478675
26,0.920963599827712
27,0.9112009211763639
28,0.9101667270258018
29,0.9096273908508955
10,0.9206750984734544
11,0.8757783208966063
12,0.8626429311361925
13,0.8600195252805205
14,0.8585571917134894
15,0.8621226969397882
16,0.852601111074204
17,0.8562700068457103
18,0.8559416170292635
19,0.8583358016010685
20,0.8971957146550984
21,0.9335675572709755
22,0.9456340530090136
23,0.9414166615575249
24,0.9394007282838335
25,0.9392320811601312
26,0.9377403792621706
27,0.9454240078596398
28,0.9390562845654316
29,0.9350696925027165
10,0.92306804919933
11,0.8842139628877076
12,0.8766433742062043
13,0.8639164736027555
14,0.8648026170363522
15,0.8584545702426677
16,0.8521475796374596
17,0.8551427739340648
18,0.8491191413576133
19,0.8497937053674602
20,0.8981473183227658
21,0.9348210306248571
22,0.9440617010638649
23,0.9514350509800223
24,0.9450483848622948
25,0.9463196339077236
26,0.9446282245615178
27,0.9352939715763039
28,0.9336587984779022
29,0.9337877534664557
10,0.9090384436741962
11,0.8679753338655214
12,0.8515890366073752
13,0.8428460799051092
14,0.8410920058324256
15,0.8401792591815621
16,0.8344371748852609
17,0.8338515630502835
18,0.8343837858800723
19,0.8343759558070003
20,0.8779776076767061
21,0.9151062159667441
22,0.9177255804346286
23,0.9181833828963477
24,0.9229509081422446
25,0.9223916717380242
26,0.9213887151962711
27,0.9187048328514033
28,0.9236620621216677
